Species,Region,file,num_seqs_Raw,num_seqs_Trimmed,sum_len_Raw,sum_len_Trimmed
Hydrophis major,Eighty Mile Beach,HMA-VU55-2117702,1160016,981930,96281328,55657347
Hydrophis major,Exmouth Gulf,HMA-KLS0801-2117727,1651901,1381531,137107783,78670208
Hydrophis major,Exmouth Gulf,HMA-KLS0933-2117744,1620565,1361446,134506895,73411034
Hydrophis major,Exmouth Gulf,HMA-KLS0813-2117730,1416688,1211062,117585104,67888281
Hydrophis major,Exmouth Gulf,HMA-KLS0799-2117731,1390032,1214277,115372656,67620537
Hydrophis major,Exmouth Gulf,HMA-KLS0808-2117740,1319894,1123143,109551202,62429973
Hydrophis major,Exmouth Gulf,HMA-KLS0901-2117709,1249302,1053145,103692066,58750372
Hydrophis major,Exmouth Gulf,HMA-KLS0898-2117745,1547679,1130058,128457357,58692277
Hydrophis major,Exmouth Gulf,HMA-KLS0798-2117733,1233499,1026354,102380417,57757479
Hydrophis major,Exmouth Gulf,HMA-KLS0913-2117749,1260084,1031879,104586972,57276944
Hydrophis major,Fraser Island,HMA-J87202-2117845,1454176,1222149,120696608,63119109
Hydrophis major,Fraser Island,HMA-J87200-2117846,1431956,1190121,118852348,61389093
Hydrophis major,Fraser Island,HMA-J87200-2133113,1448414,1136277,120218362,56100514
Hydrophis major,Fraser Island,HMA-J88474-2117828,1226397,1010851,101790951,52249701
Hydrophis major,Fraser Island,HMA-J89073-2117861,1247640,954171,103554120,47837622
Hydrophis major,Fraser Island,HMA-J88474-2133095,862498,752158,71587334,39206250
Hydrophis major,Gulf of Carpentaria,HMA-R36496-2117767,1626732,1382610,135018756,78863846
Hydrophis major,Gulf of Carpentaria,HMA-R37005-2117762,1500953,1266584,124579099,67532923
Hydrophis major,Gulf of Carpentaria,HMA-R36640-2117798,1301683,1135791,108039689,62838749
