file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ATE-KLS1283-3446947.fastq.gz	FASTQ	DNA	1235953	92570663	25	74.9	124
ATE-SS171020-04-2562233.fastq.gz	FASTQ	DNA	1057955	85460292	25	80.8	123
ATE-SS171020-04-2584017.fastq.gz	FASTQ	DNA	1046853	81992118	25	78.3	123
HMA-10-3991225.fastq.gz	FASTQ	DNA	1325923	83882064	25	63.3	124
HMA-Dm001-3991498.fastq.gz	FASTQ	DNA	929014	69270368	25	74.6	128
HMA-Dm004-3991499.fastq.gz	FASTQ	DNA	1225368	76484243	25	62.4	124
HMA-Dm005-3991500.fastq.gz	FASTQ	DNA	1269529	85313327	25	67.2	124
HMA-Dm007-3991501.fastq.gz	FASTQ	DNA	1186098	79004770	25	66.6	126
HMA-Dm008-3991502.fastq.gz	FASTQ	DNA	1005936	76267414	25	75.8	126
HMA-Dm010-3991503.fastq.gz	FASTQ	DNA	1292016	73527357	25	56.9	125
HMA-Dm011-3991504.fastq.gz	FASTQ	DNA	1250546	72727449	25	58.2	125
HMA-Dm014-3991505.fastq.gz	FASTQ	DNA	1271445	80580547	25	63.4	126
HMA-Dm015-3991506.fastq.gz	FASTQ	DNA	1191270	77126873	25	64.7	124
HMA-Dm018-3991507.fastq.gz	FASTQ	DNA	1349297	86229775	25	63.9	125
HMA-Dm028-3991509.fastq.gz	FASTQ	DNA	987831	64273170	25	65.1	126
HMA-Dm029-4019824.fastq.gz	FASTQ	DNA	1113057	67575422	25	60.7	126
HMA-Dm032-4019825.fastq.gz	FASTQ	DNA	1178275	70416274	25	59.8	126
HMA-Dm045_was_He078-4019826.fastq.gz	FASTQ	DNA	881989	70247806	25	79.6	128
HMA-J84471-2117859.fastq.gz	FASTQ	DNA	982323	52581929	25	53.5	68
HMA-J87200-2117846.fastq.gz	FASTQ	DNA	1190121	61389093	25	51.6	68
HMA-J87200-2133113.fastq.gz	FASTQ	DNA	1136277	56100514	25	49.4	68
HMA-J87202-2117845.fastq.gz	FASTQ	DNA	1222149	63119109	25	51.6	68
HMA-J88474-2117828.fastq.gz	FASTQ	DNA	1010851	52249701	25	51.7	68
HMA-J88474-2133095.fastq.gz	FASTQ	DNA	752158	39206250	25	52.1	68
HMA-J89073-2117861.fastq.gz	FASTQ	DNA	954171	47837622	25	50.1	68
HMA-KLS0629-2117699.fastq.gz	FASTQ	DNA	1073848	59000980	25	54.9	68
HMA-KLS0630-2117717.fastq.gz	FASTQ	DNA	1024767	57967261	25	56.6	68
HMA-KLS0631-2117697.fastq.gz	FASTQ	DNA	1089321	60755500	25	55.8	68
HMA-KLS0633-2117719.fastq.gz	FASTQ	DNA	1742275	97771164	25	56.1	68
HMA-KLS0647-2117698.fastq.gz	FASTQ	DNA	1070690	58320470	25	54.5	68
HMA-KLS0652-2117715.fastq.gz	FASTQ	DNA	1163839	65931544	25	56.7	68
HMA-KLS0662-2117700.fastq.gz	FASTQ	DNA	943918	52193772	25	55.3	68
HMA-KLS0676-2117735.fastq.gz	FASTQ	DNA	1448388	84812178	25	58.6	68
HMA-KLS0762-2117712.fastq.gz	FASTQ	DNA	1219294	66736474	25	54.7	68
HMA-KLS0798-2117733.fastq.gz	FASTQ	DNA	1026354	57757479	25	56.3	68
HMA-KLS0799-2117731.fastq.gz	FASTQ	DNA	1214277	67620537	25	55.7	68
HMA-KLS0801-2117727.fastq.gz	FASTQ	DNA	1381531	78670208	25	56.9	68
HMA-KLS0808-2117740.fastq.gz	FASTQ	DNA	1123143	62429973	25	55.6	68
HMA-KLS0813-2117730.fastq.gz	FASTQ	DNA	1211062	67888281	25	56.1	68
HMA-KLS0898-2117745.fastq.gz	FASTQ	DNA	1130058	58692277	25	51.9	68
HMA-KLS0901-2117709.fastq.gz	FASTQ	DNA	1053145	58750372	25	55.8	68
HMA-KLS0913-2117749.fastq.gz	FASTQ	DNA	1031879	57276944	25	55.5	68
HMA-KLS0933-2117744.fastq.gz	FASTQ	DNA	1361446	73411034	25	53.9	68
