Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Dampier Peninsula,ALA-KLS1373-3593328,2242814,185277524,2112053,176854979,1786450,1104688,681762,114769,43669,0.002645,0.001119,43306,40158
Aipysurus laevis,Dampier Peninsula,ALA-KLS1387-3593387,2049644,178351351,774892,53257130,548600,339823,208777,83546,14882,0.0028769999999999998,0.00127,14708,13633
Aipysurus laevis,Dampier Peninsula,ALA-KLS1413-3593365,2252538,181025855,2096939,171870912,1743778,1210136,533642,104600,40152,0.002539,0.001245,39767,36831
Aipysurus laevis,Dampier Peninsula,ALA-KLS1415-3593359,2257404,182278648,2122780,174229305,1778610,1145085,633525,117016,45296,0.002445,0.001167,44908,41577
Aipysurus laevis,Exmouth Gulf,ALA-KLS1444-3593398,2269754,174337994,2087672,164854803,1673860,1062432,611428,63816,39288,0.002055,0.001526,39044,34158
Aipysurus laevis,Exmouth Gulf,ALA-KLS1448-3593341,2249623,181830560,2080103,170474182,1725656,1144875,580781,101028,39712,0.002497,0.001284,39321,36545
Aipysurus laevis,Exmouth Gulf,ALA-KLS1452-3593342,2233786,182951126,2071623,173207138,1726289,1150435,575854,112870,42596,0.002527,0.001202,42227,39215
Aipysurus laevis,Exmouth Gulf,ALA-KLS1467-3593390,2234645,183395903,2089600,174979570,1762484,1151298,611186,125636,47370,0.002462,0.001147,46964,43029
Aipysurus laevis,Exmouth Gulf,ALA-KLS1474-3593384,2241305,181027556,2035653,165655523,1689302,776850,912452,108217,36931,0.002491,0.001091,36602,33936
Aipysurus laevis,Exmouth Gulf,ALA-KLS1479-3593389,2163691,175066268,2024381,167156456,1691597,1149353,542244,112455,43469,0.002512,0.001162,43094,39974
Aipysurus laevis,Exmouth Gulf,ALA-KLS1492-3593391,2139157,171767350,1996279,163741248,1650369,1186350,464019,114023,43627,0.002365,0.001232,43235,39742
Aipysurus laevis,Pilbara,ALA-KLS1526-3593366,2274617,180858686,2131494,173554713,1765682,1233066,532616,120091,46794,0.002562,0.001217,46364,42863
Aipysurus laevis,Pilbara,ALA-KLS1548-3593373,2132975,172677610,2018140,165846921,1677758,1111926,565832,111694,41363,0.002501,0.00127,40896,37923
Aipysurus laevis,Pilbara,ALA-KLS1549-3593354,2297352,188394907,2100772,174653708,1749797,544453,1205344,97415,28374,0.00251,0.001156,28074,26316
Aipysurus laevis,Pilbara,ALA-KLS1555-3593323,2175354,189038350,2077687,182202414,1798771,1109400,689371,133138,47395,0.002598,0.001265,46945,42872
Aipysurus laevis,Broome,ALA-KLS1661-4013402,2107411,159676418,1963169,151659907,1596124,1030940,565184,84577,33769,0.002667,0.001404,33463,31069
Aipysurus laevis,Broome,ALA-KLS1663-4013404,1964428,155256286,1762678,139614089,1447597,566956,880641,82154,21973,0.002607,0.001188,21672,20305
Aipysurus laevis,Broome,ALA-KLS1664-4013405,2056689,154915199,1904032,146181199,1542631,1147379,395252,82449,36048,0.002538,0.001458,35733,32910
Aipysurus laevis,Broome,ALA-KLS1682-4013423,2151878,160616135,1946589,147277439,1559317,516169,1043148,53542,21051,0.002564,0.001388,20866,19216
Aipysurus laevis,Broome,ALA-KLS1690-4013430,2014498,155691552,1864811,146190184,1509904,1027972,481932,87710,33163,0.002439,0.001341,32876,30552
Aipysurus laevis,Gulf of Carpentaria,ALA-MAGNT-R36654-2583996,1241901,171382338,619286,43096644,408163,245639,162524,51322,11368,0.001873,0.002769,11210,10636
Aipysurus laevis,New Caledonia,ALA-NC_2019_217-2117818,1081714,89782262,978368,55655857,759474,486030,273444,85690,21289,0.001157,0.002164,21131,20107
Aipysurus laevis,New Caledonia,ALA-NC_2019_247-2117816,1168232,96963256,1032766,57624138,774799,531334,243465,77577,21447,0.001345,0.002206,21317,20011
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_208-2562133,1401320,193382160,1259991,100640760,1035050,646146,388904,75765,28537,0.001382,0.002447,28337,26604
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_213-2892489,1528518,210935484,1342039,105546310,1084027,585523,498504,79651,26155,0.001814,0.00279,25909,24522
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_217-2892446,1529786,211110468,1410476,117288125,1192098,756377,435721,93160,32080,0.001478,0.002487,31850,30272
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_227-2892537,1370293,189100434,1199213,96050836,994708,620131,374577,82553,26866,0.001674,0.002288,26647,25287
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_247-2892476,1481093,204390834,1306541,104453559,1070476,737791,332685,81351,28850,0.001451,0.002874,28610,27012
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_253-3446972,1183097,79363836,1087316,74311701,803217,562242,240975,34693,17819,0.002578,0.003972,17511,15992
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_269-3446978,1411543,92986135,1300352,87024884,960344,639596,320748,52143,21834,0.0025959999999999998,0.003744,21401,19993
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_271-2892518,1421764,196203432,1268003,102988241,1043491,703045,340446,86364,28513,0.001584,0.002635,28275,26712
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_275-3446981,1417360,98504832,1302027,92416370,988459,686121,302338,72212,25718,0.002671,0.003348,25223,23706
Aipysurus laevis,New Caledonia,ALA-NC_Jan2019_282-2562143,1306854,180345852,1178292,94100478,967296,653443,313853,87478,28522,0.001481,0.002366,28315,26894
Aipysurus laevis,Gulf of Carpentaria,ALA-R29880-2892521,1574892,217335096,1386258,106574137,1117896,741014,376882,86408,26029,0.002234,0.002836,25737,23963
Aipysurus laevis,Gulf of Carpentaria,ALA-R36967-2892426,1139847,157298886,1073655,92810919,942763,605312,337451,33654,21598,0.0014,0.002683,21466,18026
Aipysurus laevis,Gulf of Carpentaria,ALA-R36974-2892437,1173666,161965908,1069120,83811793,887077,584942,302135,16707,12768,0.001524,0.002452,12675,10625
Aipysurus laevis,Gulf of Carpentaria,ALA-R37003-2892459,1234786,170400468,1122318,89462526,943445,589295,354150,29110,19213,0.001299,0.002717,19082,15799
Aipysurus laevis,Gulf of Carpentaria,ALA-R37010-2892460,1488598,205426524,1346248,98823626,1064466,680456,384010,29719,20651,0.001581,0.002591,20481,17445
Aipysurus laevis,Gulf of Carpentaria,ALA-R37025-2892461,1440196,198747048,1310289,108566840,1118282,750961,367321,46218,26479,0.00124,0.002726,26321,21950
Aipysurus laevis,Gulf of Carpentaria,ALA-R37027-2892458,1241749,171361362,1161439,97359376,994429,674315,320114,34900,21764,0.001172,0.002934,21638,18092
Aipysurus laevis,Gulf of Carpentaria,ALA-R37032-2892401,1460932,201608616,1292138,103599694,1078725,663191,415534,78182,26226,0.001971,0.002658,25998,23738
Aipysurus laevis,Gulf of Carpentaria,ALA-R37034-2892486,1332458,183879204,1201770,98751045,1015344,643936,371408,60698,25478,0.001805,0.002763,25303,22984
Aipysurus laevis,Gulf of Carpentaria,ALA-R37101-2892544,1573481,217140378,1370941,101757639,1072858,702872,369986,61973,22164,0.002227,0.002927,21941,20273
Aipysurus laevis,Gulf of Carpentaria,ALA-R37113-2892490,1607243,221799534,1245399,69028751,768119,416336,351783,18180,12070,0.003881,0.003076,11836,9678
